# Spherical Bessel functions via up and down recursion
#     logx                 Up Recursion             Down Recursion           Compare Up/Down         Compare Down/GSL         Compare Up/GSL
-1.0000000000          7.2715109967e-21          3.4267443426e+02         0.0000000000e+00         1.0000000000e+00         9.9970858491e-01
-0.6989700043          7.4411725281e-18         -1.3715933645e-01         0.0000000000e+00         1.0000000000e+00         1.0000000000e+00
-0.5228787453          4.2862929706e-16          3.9082557909e-04        -9.5261088784e-13         1.0000000000e+00         9.9474377620e-01
-0.3979400087          7.5999054878e-15         -3.6628963987e-04         0.0000000000e+00         1.0000000000e+00         1.0000000000e+00
-0.3010299957          7.0641239637e-14         -2.1535726743e-05         0.0000000000e+00         1.0000000000e+00         1.0000000000e+00
-0.2218487496          4.3634669470e-13          3.8154843416e-06        -9.9333633435e-08         1.0000000000e+00         9.9997338388e-01
-0.1549019600          2.0326908137e-12         -7.7011723500e-07         0.0000000000e+00         9.9999999999e-01         1.0000000000e+00
-0.0969100130          7.7014628084e-12         -3.5466350728e-07         0.0000000000e+00         9.9999999996e-01         1.0000000000e+00
-0.0457574906          2.4916751284e-11         -1.1985338389e-07         0.0000000000e+00         9.9999999988e-01         1.0000000000e+00
-0.0000000000          7.1165526400e-11         -2.2789553017e-08         0.0000000000e+00         9.9999999968e-01         1.0000000000e+00
0.0413926852          1.8374267943e-10          5.8603022841e-09        -2.7242484163e-02         9.9999999922e-01         9.9999997511e-01
0.0791812460          4.3643458262e-10         -4.8767261623e-09         0.0000000000e+00         9.9999999825e-01         1.0000000000e+00
0.1139433523          9.6643681646e-10         -1.5330267031e-09         0.0000000000e+00         9.9999999630e-01         1.0000000000e+00
0.1461280357          2.0158724117e-09          2.2603005462e-09        -1.2429040696e+00         9.9999999256e-01         9.9999999166e-01
0.1760912591          3.9934406995e-09          3.4496752343e-09        -1.1363431617e+00         9.9999998568e-01         9.9999998763e-01
0.2041199827          7.5630221314e-09          7.3366727493e-09        -1.8183980616e+00         9.9999997346e-01         9.9999997425e-01
0.2304489214          1.3767474201e-08          1.3729204033e-08        -2.8564198594e+00         9.9999995234e-01         9.9999995247e-01
0.2552725051          2.4197355440e-08          2.4199534702e-08        -4.3465078599e+00         9.9999991678e-01         9.9999991677e-01
0.2787536010          4.1215880664e-08          4.1245061730e-08        -3.4511471414e+00         9.9999985816e-01         9.9999985806e-01
0.3010299957          6.8253008650e-08          6.8341991024e-08        -3.1861308102e+00         9.9999976331e-01         9.9999976300e-01
0.3222192947          1.1018315590e-07          1.1018685979e-07        -4.7744942400e+00         9.9999961223e-01         9.9999961222e-01
0.3424226808          1.7380257612e-07          1.7380011585e-07        -5.1500998214e+00         9.9999937477e-01         9.9999937478e-01
0.3617278360          2.6842389957e-07          2.6842797072e-07        -5.1201367404e+00         9.9999900560e-01         9.9999900559e-01
0.3802112417          4.0660664225e-07          4.0660243159e-07        -5.2858516567e+00         9.9999843669e-01         9.9999843670e-01
0.3979400087          6.0504362296e-07          6.0504559094e-07        -5.7887973978e+00         9.9999756568e-01         9.9999756567e-01
0.4149733480          8.8562411510e-07          8.8562584120e-07        -6.0112132720e+00         9.9999623794e-01         9.9999623794e-01
0.4313637642          1.2766951605e-06          1.2766983776e-06        -5.8996563070e+00         9.9999421790e-01         9.9999421789e-01
0.4471580313          1.8145427336e-06          1.8145428320e-06        -7.5671190245e+00         9.9999114233e-01         9.9999114233e-01
0.4623979979          2.5451143172e-06          2.5451137213e-06        -6.9315434998e+00         9.9998644160e-01         9.9998644161e-01
0.4771212547          3.5260038932e-06          3.5260028978e-06        -6.8503142045e+00         9.9997920145e-01         9.9997920146e-01
0.4913616938          4.8287193177e-06          4.8287195940e-06        -7.5435077903e+00         9.9996790759e-01         9.9996790759e-01
0.5051499783          6.5412505061e-06          6.5412507705e-06        -7.6945025372e+00         9.9994994256e-01         9.9994994256e-01
0.5185139399          8.7709547665e-06          8.7709548391e-06        -8.3828617133e+00         9.9992050694e-01         9.9992050694e-01
0.5314789170          1.1647772969e-05          1.1647772662e-05        -7.8802001775e+00         9.9987002973e-01         9.9987002973e-01
0.5440680444          1.5327786999e-05          1.5327787237e-05        -8.1102411759e+00         9.9977687651e-01         9.9977687650e-01
0.5563025008          1.9997125124e-05          1.9997125134e-05        -9.5892071130e+00         9.9958114864e-01         9.9958114864e-01
0.5682017241          2.5876217463e-05          2.5876217482e-05        -9.4520113257e+00         9.9903912801e-01         9.9903912800e-01
0.5797835966          3.3224398787e-05          3.3224398840e-05        -9.0932122594e+00         9.9483058795e-01         9.9483058795e-01
0.5910646070          4.2344850269e-05          4.2344850210e-05        -9.1568557095e+00         1.0000000000e+00         1.0000000000e+00
0.6020599913          5.3589865769e-05          5.3589865805e-05        -9.4753389298e+00         1.0000000000e+00         1.0000000000e+00
0.6127838567          6.7366421606e-05          6.7366421663e-05        -9.3673716668e+00         1.0000000000e+00         1.0000000000e+00
0.6232492904          8.4142021811e-05          8.4142021810e-05        -1.1159827303e+01         1.0000000000e+00         1.0000000000e+00
0.6334684556          1.0445078343e-04          1.0445078342e-04        -1.0338345385e+01         1.0000000000e+00         1.0000000000e+00
0.6434526765          1.2889971879e-04          1.2889971880e-04        -1.0394002259e+01         1.0000000000e+00         1.0000000000e+00
0.6532125138          1.5817516371e-04          1.5817516372e-04        -1.0685438078e+01         1.0000000000e+00         1.0000000000e+00
0.6627578317          1.9304929271e-04          1.9304929272e-04        -1.0765536065e+01         1.0000000000e+00         1.0000000000e+00
0.6720978579          2.3438665403e-04          2.3438665403e-04        -1.1337501764e+01         1.0000000000e+00         1.0000000000e+00
0.6812412374          2.8315064961e-04          2.8315064962e-04        -1.1080687785e+01         1.0000000000e+00         1.0000000000e+00
0.6901960800          3.4040987718e-04          3.4040987718e-04        -1.1389435993e+01         1.0000000000e+00         1.0000000000e+00
0.6989700043          4.0734424425e-04          4.0734424425e-04        -1.1424478693e+01         1.0000000000e+00         1.0000000000e+00
0.7075701761          4.8525075697e-04          4.8525075698e-04        -1.1327212025e+01         1.0000000000e+00         1.0000000000e+00
0.7160033436          5.7554888024e-04          5.7554888024e-04        -1.1651107017e+01         1.0000000000e+00         1.0000000000e+00
0.7242758696          6.7978535981e-04          6.7978535982e-04        -1.1575677785e+01         1.0000000000e+00         1.0000000000e+00
0.7323937598          7.9963839250e-04          7.9963839250e-04        -1.1701619771e+01         1.0000000000e+00         1.0000000000e+00
0.7403626895          9.3692102634e-04          9.3692102634e-04        -1.2245466997e+01         1.0000000000e+00         1.0000000000e+00
0.7481880270          1.0935836702e-03          1.0935836702e-03        -1.2224578320e+01         1.0000000000e+00         1.0000000000e+00
0.7558748557          1.2717155903e-03          1.2717155903e-03        -1.2563045363e+01         1.0000000000e+00         1.0000000000e+00
0.7634279936          1.4735452715e-03          1.4735452715e-03        -1.2070408097e+01         1.0000000000e+00         1.0000000000e+00
0.7708520116          1.7014395216e-03          1.7014395216e-03        -1.2557516603e+01         1.0000000000e+00         1.0000000000e+00
0.7781512504          1.9579011995e-03          1.9579011995e-03        -1.2708413954e+01         1.0000000000e+00         1.0000000000e+00
0.7853298350          2.2455654543e-03          2.2455654543e-03        -1.4182676537e+01         1.0000000000e+00         1.0000000000e+00
0.7923916895          2.5671943647e-03          2.5671943647e-03        -1.2921642251e+01         1.0000000000e+00         1.0000000000e+00
0.7993405495          2.9256698788e-03          2.9256698788e-03        -1.3465443076e+01         1.0000000000e+00         1.0000000000e+00
0.8061799740          3.3239849632e-03          3.3239849631e-03        -1.3245999529e+01         1.0000000000e+00         1.0000000000e+00
0.8129133566          3.7652328781e-03          3.7652328781e-03        -1.3824678225e+01         1.0000000000e+00         1.0000000000e+00
