r      Eigenvalue
0     0
0.05     0.00334268
0.1     0.00668486
0.15     0.010026
0.2     0.0133657
0.25     0.0167033
0.3     0.0200385
0.35     0.0233706
0.4     0.0266992
0.45     0.0300238
0.5     0.0333439
0.55     0.0366589
0.6     0.0399685
0.65     0.043272
0.7     0.046569
0.75     0.0498591
0.8     0.0531416
0.85     0.0564161
0.9     0.0596822
0.95     0.0629392
1     0.0661869
1.05     0.0694245
1.1     0.0726518
1.15     0.0758681
1.2     0.079073
1.25     0.0822661
1.3     0.0854468
1.35     0.0886146
1.4     0.0917692
1.45     0.09491
1.5     0.0980366
1.55     0.101148
1.6     0.104245
1.65     0.107326
1.7     0.110391
1.75     0.11344
1.8     0.116471
1.85     0.119485
1.9     0.122481
1.95     0.125459
2     0.128418
2.05     0.131357
2.1     0.134278
2.15     0.137178
2.2     0.140057
2.25     0.142916
2.3     0.145753
2.35     0.148568
2.4     0.151362
2.45     0.154132
2.5     0.15688
2.55     0.159604
2.6     0.162305
2.65     0.164981
2.7     0.167633
2.75     0.17026
2.8     0.172861
2.85     0.175437
2.9     0.177987
2.95     0.18051
3     0.183006
3.05     0.185475
3.1     0.187917
3.15     0.190331
3.2     0.192716
3.25     0.195073
3.3     0.197401
3.35     0.1997
3.4     0.20197
3.45     0.204209
3.5     0.206418
3.55     0.208597
3.6     0.210745
3.65     0.212862
3.7     0.214947
3.75     0.217001
3.8     0.219023
3.85     0.221012
3.9     0.222969
3.95     0.224893
4     0.226784
4.05     0.228642
4.1     0.230466
4.15     0.232257
4.2     0.234013
4.25     0.235735
4.3     0.237423
4.35     0.239076
4.4     0.240694
4.45     0.242276
4.5     0.243824
4.55     0.245336
4.6     0.246812
4.65     0.248252
4.7     0.249656
4.75     0.251024
4.8     0.252355
4.85     0.253649
4.9     0.254907
4.95     0.256128
5     0.257312
5.05     0.258458
5.1     0.259568
5.15     0.260639
5.2     0.261674
5.25     0.26267
5.3     0.263629
5.35     0.264549
5.4     0.265432
5.45     0.266276
5.5     0.267083
5.55     0.267851
5.6     0.26858
5.65     0.269272
5.7     0.269925
5.75     0.270539
5.8     0.271115
5.85     0.271652
5.9     0.27215
5.95     0.27261
6     0.273032
6.05     0.273414
6.1     0.273758
6.15     0.274063
6.2     0.274329
6.25     0.274557
6.3     0.274746
6.35     0.274896
6.4     0.275008
6.45     0.275081
6.5     0.275116
6.55     0.275112
6.6     0.27507
6.65     0.274989
6.7     0.27487
6.75     0.274713
6.8     0.274518
6.85     0.274284
6.9     0.274013
6.95     0.273704
7     0.273357
7.05     0.272972
7.1     0.272549
7.15     0.27209
7.2     0.271593
7.25     0.271058
7.3     0.270487
7.35     0.269879
7.4     0.269234
7.45     0.268552
7.5     0.267834
7.55     0.26708
7.6     0.266289
7.65     0.265463
7.7     0.264601
7.75     0.263703
7.8     0.26277
7.85     0.261802
7.9     0.260799
7.95     0.259761
8     0.258689
8.05     0.257582
8.1     0.256441
8.15     0.255267
8.2     0.254058
8.25     0.252817
8.3     0.251542
8.35     0.250234
8.4     0.248894
8.45     0.247521
8.5     0.246116
8.55     0.24468
8.6     0.243211
8.65     0.241712
8.7     0.240181
8.75     0.23862
8.8     0.237029
8.85     0.235407
8.9     0.233755
8.95     0.232074
9     0.230364
9.05     0.228624
9.1     0.226857
9.15     0.225061
9.2     0.223237
9.25     0.221385
9.3     0.219506
9.35     0.2176
9.4     0.215668
9.45     0.213709
9.5     0.211724
9.55     0.209714
9.6     0.207679
9.65     0.205619
9.7     0.203534
9.75     0.201425
9.8     0.199292
9.85     0.197136
9.9     0.194957
9.95     0.192756
