numerical = 7.869390828604888588e-02   exact = 7.869390828605024590e-02
numerical = 1.567445934655900541e-01   exact = 1.567445934655908313e-01
numerical = 2.338269653038266283e-01   exact = 2.338269653038277385e-01
numerical = 3.094648358354837314e-01   exact = 3.094648358354856743e-01
numerical = 3.831909407197355844e-01   exact = 3.831909407197394146e-01
numerical = 4.545498258360821109e-01   exact = 4.545498258360777255e-01
numerical = 5.231006609207519142e-01   exact = 5.231006609207512481e-01
numerical = 5.884199628621429312e-01   exact = 5.884199628621428202e-01
numerical = 6.501042118314939167e-01   exact = 6.501042118314911411e-01
numerical = 7.077723440874243988e-01   exact = 7.077723440874272853e-01
numerical = 7.610681060546625742e-01   exact = 7.610681060546489185e-01
numerical = 8.096622551340529883e-01   exact = 8.096622551340536544e-01
numerical = 8.532545936485057547e-01   exact = 8.532545936485000926e-01
numerical = 8.915758233591748461e-01   exact = 8.915758233591850601e-01
numerical = 9.243892090960964536e-01   exact = 9.243892090960872387e-01
numerical = 9.514920412251443027e-01   exact = 9.514920412251461901e-01
numerical = 9.727168879175510652e-01   exact = 9.727168879175666083e-01
numerical = 9.879326294851707990e-01   exact = 9.879326294851666912e-01
numerical = 9.970452683920059123e-01   exact = 9.970452683920062453e-01
numerical = 9.999985099383347231e-01   exact = 9.999985099383262854e-01
numerical = 9.967741100295274270e-01   exact = 9.967741100295385293e-01
numerical = 9.873919878818644413e-01   exact = 9.873919878818682161e-01
numerical = 9.719101029683936410e-01   exact = 9.719101029683947512e-01
numerical = 9.504240969656818638e-01   exact = 9.504240969656749805e-01
numerical = 9.230667029128869494e-01   exact = 9.230667029128762913e-01
numerical = 8.900069252334241732e-01   exact = 8.900069252334299463e-01
numerical = 8.514489956847358654e-01   exact = 8.514489956847435259e-01
numerical = 8.076311116857484151e-01   exact = 8.076311116857483041e-01
numerical = 7.588239648164658568e-01   exact = 7.588239648164589735e-01
numerical = 7.053290685799628035e-01   exact = 7.053290685799545878e-01
numerical = 6.474768957572724082e-01   exact = 6.474768957572872852e-01
numerical = 5.856248368620847744e-01   exact = 5.856248368620882161e-01
numerical = 5.201549923068480297e-01   exact = 5.201549923068254921e-01
numerical = 4.514718119199495061e-01   exact = 4.514718119199381818e-01
numerical = 3.799995963960760004e-01   exact = 3.799995963960872691e-01
numerical = 3.061798761147023207e-01   exact = 3.061798761146888315e-01
numerical = 2.304686835194682815e-01   exact = 2.304686835194745265e-01
numerical = 1.533337359093619179e-01   exact = 1.533337359093629726e-01
numerical = 7.525154604438351325e-02   exact = 7.525154604438183403e-02
numerical = -3.295521583698726546e-03   exact = -3.295521583701031126e-03
numerical = -8.182223063069278546e-02   exact = -8.182223063069579694e-02
numerical = -1.598434705206192852e-01   exact = -1.598434705206172313e-01
numerical = -2.368772532893511917e-01   exact = -2.368772532893505811e-01
numerical = -3.124476911379173161e-01   exact = -3.124476911379165389e-01
numerical = -3.860879363010611964e-01   exact = -3.860879363010508714e-01
numerical = -4.573430650696003741e-01   exact = -4.573430650696038713e-01
numerical = -5.257728881502937712e-01   exact = -5.257728881502966578e-01
numerical = -5.909546700013933451e-01   exact = -5.909546700013991183e-01
numerical = -6.524857403452258842e-01   exact = -6.524857403452257731e-01
numerical = -7.099859817244318361e-01   exact = -7.099859817244458249e-01
numerical = -7.631001777349488702e-01   exact = -7.631001777349408766e-01
numerical = -8.115002074286683520e-01   exact = -8.115002074286629119e-01
numerical = -8.548870723302196550e-01   exact = -8.548870723302193220e-01
numerical = -8.929927435450130124e-01   exact = -8.929927435450084605e-01
numerical = -9.255818175480906573e-01   exact = -9.255818175480935439e-01
numerical = -9.524529704249437012e-01   exact = -9.524529704249443673e-01
numerical = -9.734402015802429142e-01   exact = -9.734402015802517960e-01
numerical = -9.884138592316252803e-01   exact = -9.884138592316126237e-01
numerical = -9.972814413529552668e-01   exact = -9.972814413529520472e-01
numerical = -9.999881671197263788e-01   exact = -9.999881671197239363e-01
numerical = -9.965173153256972061e-01   exact = -9.965173153257081973e-01
numerical = -9.868903276807844405e-01   exact = -9.868903276807814429e-01
numerical = -9.711666763515202083e-01   exact = -9.711666763515239831e-01
numerical = -9.494434965629503509e-01   exact = -9.494434965629509060e-01
numerical = -9.218549865310295965e-01   exact = -9.218549865310241564e-01
numerical = -8.885715784329689670e-01   exact = -8.885715784329564215e-01
numerical = -8.497988855367578642e-01   exact = -8.497988855367571981e-01
numerical = -8.057764319943000464e-01   exact = -8.057764319942946063e-01
numerical = -7.567761731447510964e-01   exact = -7.567761731447587570e-01
numerical = -7.031008154695872481e-01   exact = -7.031008154695796986e-01
numerical = -6.450819465775430306e-01   exact = -6.450819465775368133e-01
numerical = -5.830779867723631105e-01   exact = -5.830779867723436816e-01
numerical = -5.174719748572195188e-01   exact = -5.174719748572244038e-01
numerical = -4.486692018550011984e-01   exact = -4.486692018550002548e-01
numerical = -3.770947072617368279e-01   exact = -3.770947072617295559e-01
numerical = -3.031906533011914928e-01   exact = -3.031906533011907157e-01
numerical = -2.274135934011207449e-01   exact = -2.274135934011221050e-01
numerical = -1.502316517656439310e-01   exact = -1.502316517656440420e-01
numerical = -7.212163146745539932e-02   exact = -7.212163146745391440e-02
numerical = 6.433931074982809396e-03   exact = 6.433931074983223995e-03
numerical = 8.494974703887372969e-02   exact = 8.494974703886915002e-02
numerical = 1.629407731418751615e-01   exact = 1.629407731418766880e-01
numerical = 2.399252080701035628e-01   exact = 2.399252080701136103e-01
numerical = 3.154274688783160197e-01   exact = 3.154274688783186842e-01
numerical = 3.889811289751745615e-01   exact = 3.889811289751694545e-01
numerical = 4.601317995438048425e-01   exact = 4.601317995438026220e-01
numerical = 5.284399365972194396e-01   exact = 5.284399365972120011e-01
numerical = 5.934835563274254433e-01   exact = 5.934835563274309944e-01
numerical = 6.548608419740870046e-01   exact = 6.548608419740923337e-01
numerical = 7.121926261080054887e-01   exact = 7.121926261080036014e-01
numerical = 7.651247329950514597e-01   exact = 7.651247329950549014e-01
numerical = 8.133301665701947458e-01   exact = 8.133301665701941907e-01
numerical = 8.565111305048624946e-01   exact = 8.565111305048694890e-01
numerical = 8.944008678887327424e-01   exact = 8.944008678887231945e-01
numerical = 9.267653091605997373e-01   exact = 9.267653091605910776e-01
numerical = 9.534045181084709331e-01   exact = 9.534045181084828124e-01
numerical = 9.741539270056628341e-01   exact = 9.741539270056558397e-01
numerical = 9.888853532525432311e-01   exact = 9.888853532525371248e-01
numerical = 9.975077912440518668e-01   exact = 9.975077912440475369e-01
numerical = 9.999679745704367351e-01   exact = 9.999679745704359579e-01
numerical = 9.962507050785602836e-01   exact = 9.962507050785522900e-01
numerical = 9.863789467607341210e-01   exact = 9.863789467607267936e-01
numerical = 9.704136838912376106e-01   exact = 9.704136838912491569e-01
numerical = 9.484535442868157196e-01   exact = 9.484535442868248234e-01
numerical = 9.206341900183728777e-01   exact = 9.206341900183797611e-01
numerical = 8.871274793381758172e-01   exact = 8.871274793381750401e-01
numerical = 8.481404049995696637e-01   exact = 8.481404049995665551e-01
numerical = 8.039138155280765030e-01   exact = 8.039138155280792786e-01
numerical = 7.547209273433628240e-01   exact = 7.547209273433603816e-01
numerical = 7.008656369235877204e-01   exact = 7.008656369235819472e-01
numerical = 6.426806434391596490e-01   exact = 6.426806434391582057e-01
numerical = 5.805253934534951865e-01   exact = 5.805253934535021809e-01
numerical = 5.147838603877218366e-01   exact = 5.147838603877220587e-01
numerical = 4.458621724669762920e-01   exact = 4.458621724669634134e-01
numerical = 3.741861038021239705e-01   exact = 3.741861038021128127e-01
numerical = 3.001984441060692177e-01   exact = 3.001984441060742137e-01
numerical = 2.243562632936260959e-01   exact = 2.243562632936161594e-01
numerical = 1.471280878630943090e-01   exact = 1.471280878631049394e-01
numerical = 6.899100650348517771e-02   exact = 6.899100650347569919e-02
numerical = -9.572277193024877895e-03   exact = -9.572277193026744457e-03
numerical = -8.807642670501271420e-02   exact = -8.807642670500998028e-02
numerical = -1.660364708214106810e-01   exact = -1.660364708214119578e-01
numerical = -2.429707996242307377e-01   exact = -2.429707996242287116e-01
numerical = -3.184041397063426815e-01   exact = -3.184041397063402945e-01
numerical = -3.918704902445779292e-01   exact = -3.918704902445867000e-01
numerical = -4.629160017900598167e-01   exact = -4.629160017900685875e-01
numerical = -5.311017799914671267e-01   exact = -5.311017799914771187e-01
numerical = -5.960065969310847089e-01   exact = -5.960065969310957001e-01
numerical = -6.572294933237071701e-01   exact = -6.572294933237049497e-01
numerical = -7.143922555029785793e-01   exact = -7.143922555029890153e-01
numerical = -7.671417518934349200e-01   exact = -7.671417518934317004e-01
numerical = -8.151521145338328500e-01   exact = -8.151521145338308516e-01
numerical = -8.581267521757224293e-01   exact = -8.581267521757272032e-01
numerical = -8.958001825205146318e-01   exact = -8.958001825205199609e-01
numerical = -9.279396722763590954e-01   exact = -9.279396722763678662e-01
numerical = -9.543466749031562779e-01   exact = -9.543466749031627172e-01
numerical = -9.748580571636932257e-01   exact = -9.748580571636934478e-01
numerical = -9.893471069037936827e-01   exact = -9.893471069037967913e-01
numerical = -9.977243158357861352e-01   exact = -9.977243158357805841e-01
numerical = -9.999379324893546972e-01   exact = -9.999379324893558074e-01
numerical = -9.959742819141409464e-01   exact = -9.959742819141407244e-01
numerical = -9.858578501587262899e-01   exact = -9.858578501587281773e-01
numerical = -9.696511330044561561e-01   exact = -9.696511330044309540e-01
numerical = -9.474542498881830532e-01   exact = -9.474542498881763919e-01
numerical = -9.194043253995974885e-01   exact = -9.194043253996018183e-01
numerical = -8.856746421732407670e-01   exact = -8.856746421732422103e-01
numerical = -8.464735704089627610e-01   exact = -8.464735704089491053e-01
numerical = -8.020432806335827669e-01   exact = -8.020432806335882070e-01
numerical = -7.526582476561042290e-01   exact = -7.526582476561193280e-01
numerical = -6.986235549581220061e-01   exact = -6.986235549581238935e-01
numerical = -6.402730099946261078e-01   exact = -6.402730099946183362e-01
numerical = -5.779670820482134541e-01   exact = -5.779670820482175619e-01
numerical = -5.120906753758415197e-01   exact = -5.120906753758358576e-01
numerical = -4.430507514046412854e-01   exact = -4.430507514046394535e-01
numerical = -3.712738146665272576e-01   exact = -3.712738146665343075e-01
numerical = -2.972032780021499065e-01   exact = -2.972032780021421905e-01
numerical = -2.212967233111856058e-01   exact = -2.212967233111899634e-01
numerical = -1.440230747713812376e-01   exact = -1.440230747713768800e-01
numerical = -6.585970198862152458e-02   exact = -6.585970198862001190e-02
numerical = 1.271052902560548814e-02   exact = 1.271052902560486364e-02
numerical = 9.120223883179731650e-02   exact = 9.120223883180338109e-02
numerical = 1.691305330670763718e-01   exact = 1.691305330670754559e-01
numerical = 2.460139979530890919e-01   exact = 2.460139979530842347e-01
numerical = 3.213776743022238591e-01   exact = 3.213776743022226379e-01
numerical = 3.947559916495401722e-01   exact = 3.947559916495414489e-01
numerical = 4.656956443844264548e-01   exact = 4.656956443844298965e-01
numerical = 5.337583921143478349e-01   exact = 5.337583921143431720e-01
numerical = 5.985237669608134414e-01   exact = 5.985237669608257649e-01
numerical = 6.595916710632087065e-01   exact = 6.595916710632087065e-01
numerical = 7.165848482433911926e-01   exact = 7.165848482433918587e-01
numerical = 7.691512145627398267e-01   exact = 7.691512145627409369e-01
numerical = 8.169660333736699087e-01   exact = 8.169660333736653568e-01
numerical = 8.597339214291713771e-01   exact = 8.597339214291653819e-01
numerical = 8.971906736573718177e-01   exact = 8.971906736573640462e-01
numerical = 9.291048953281321188e-01   exact = 9.291048953281269007e-01
numerical = 9.552794315288655191e-01   exact = 9.552794315288819504e-01
numerical = 9.755525851187932806e-01   exact = 9.755525851187891728e-01
numerical = 9.897991156371801491e-01   exact = 9.897991156371879207e-01
numerical = 9.979310129954230835e-01   exact = 9.979310129954176434e-01
numerical = 9.998980411723891182e-01   exact = 9.998980411723934481e-01
numerical = 9.956880485552113136e-01   exact = 9.956880485551998783e-01
numerical = 9.853270430075008468e-01   exact = 9.853270430075072861e-01
numerical = 9.688790312020867379e-01   exact = 9.688790312020776341e-01
numerical = 9.464456232099066613e-01   exact = 9.464456232099006661e-01
numerical = 9.181654047886635972e-01   exact = 9.181654047886689263e-01
numerical = 8.842130812483803837e-01   exact = 8.842130812483826041e-01
numerical = 8.447983981829778610e-01   exact = 8.447983981829733091e-01
numerical = 8.001648457353160993e-01   exact = 8.001648457353047750e-01
numerical = 7.505881544001207217e-01   exact = 7.505881544001191674e-01
numerical = 6.963745916573833572e-01   exact = 6.963745916573740313e-01
numerical = 6.378590699587456392e-01   exact = 6.378590699587383117e-01
numerical = 5.754030777554783871e-01   exact = 5.754030777554662857e-01
numerical = 5.093924463490242527e-01   exact = 5.093924463490209220e-01
numerical = 4.402349663600925167e-01   exact = 4.402349663600955698e-01
numerical = 3.683578685405887176e-01   exact = 3.683578685405979325e-01
numerical = 2.942051844913331493e-01   exact = 2.942051844913249337e-01
numerical = 2.182350035898438789e-01   exact = 2.182350035898449336e-01
numerical = 1.409166430743565845e-01   exact = 1.409166430743618303e-01
numerical = 6.272774876576610315e-02   exact = 6.272774876576416025e-02
numerical = -1.584865566140101698e-02   exact = -1.584865566141199431e-02
numerical = -9.432715263047383725e-02   exact = -9.432715263047831977e-02
numerical = -1.722229294028140567e-01   exact = -1.722229294028215507e-01
numerical = -2.490547730816433381e-01   exact = -2.490547730816433381e-01
numerical = -3.243480433771074867e-01   exact = -3.243480433771091520e-01
numerical = -3.976376047682931847e-01   exact = -3.976376047682822490e-01
numerical = -4.684706999478300271e-01   exact = -4.684706999478363554e-01
numerical = -5.364097467985771139e-01   exact = -5.364097467985819989e-01
numerical = -6.010350416228799064e-01   exact = -6.010350416228859016e-01
numerical = -6.619473519255051341e-01   exact = -6.619473519255092420e-01
numerical = -7.187703827325080397e-01   exact = -7.187703827325053751e-01
numerical = -7.711531012100750759e-01   exact = -7.711531012100875104e-01
numerical = -8.187719052228631389e-01   exact = -8.187719052228727978e-01
numerical = -8.613326224348166749e-01   exact = -8.613326224348124560e-01
numerical = -8.985723276031273299e-01   exact = -8.985723276031279960e-01
numerical = -9.302609668385968256e-01   exact = -9.302609668385991570e-01
numerical = -9.562027787981385307e-01   exact = -9.562027787981322025e-01
numerical = -9.762375040299569040e-01   exact = -9.762375040299491324e-01
numerical = -9.902413750004959159e-01   exact = -9.902413750004948056e-01
numerical = -9.981278806870309550e-01   exact = -9.981278806870226283e-01
numerical = -9.998483010124769033e-01   exact = -9.998483010124722403e-01
numerical = -9.953920078210712896e-01   exact = -9.953920078210836131e-01
numerical = -9.847865305354294163e-01   exact = -9.847865305354335241e-01
numerical = -9.680973860892866378e-01   exact = -9.680973860892763128e-01
numerical = -9.454276741868229417e-01   exact = -9.454276741868191669e-01
numerical = -9.169174403887755398e-01   exact = -9.169174403887592195e-01
numerical = -8.827428109597496020e-01   exact = -8.827428109597461603e-01
numerical = -8.431149048218298248e-01   exact = -8.431149048218296027e-01
numerical = -7.982785293355246781e-01   exact = -7.982785293355258993e-01
numerical = -7.485106679654649486e-01   exact = -7.485106679654560669e-01
numerical = -6.941187691732604303e-01   exact = -6.941187691732760845e-01
numerical = -6.354388471084541079e-01   exact = -6.354388471084613244e-01
numerical = -5.728334058302996246e-01   exact = -5.728334058302976262e-01
numerical = -5.066891998844436085e-01   exact = -5.066891998844315070e-01
numerical = -4.374148450683891798e-01   exact = -4.374148450683827960e-01
numerical = -3.654382941459238254e-01   exact = -3.654382941459276002e-01
numerical = -2.912041931043800602e-01   exact = -2.912041931043771736e-01
numerical = -2.151711342870446797e-01   exact = -2.151711342870526178e-01
numerical = -1.378088233699519549e-01   exact = -1.378088233699427956e-01
