# 3D harmonic oscillator
# eigenvalue = 1.882500e+00

#   r       u(r)
0.000000 0.000000
2.500000 1.000000e+00
# 3D harmonic oscillator
# eigenvalue = 1.353991e+00

#   r       u(r)
0.000000 0.000000
1.666667 9.861916e-01
3.333333 1.656083e-01
# 3D harmonic oscillator
# eigenvalue = 1.368274e+00

#   r       u(r)
0.000000 0.000000
1.250000 9.013157e-01
2.500000 4.258027e-01
3.750000 7.951147e-02
# 3D harmonic oscillator
# eigenvalue = 1.417031e+00

#   r       u(r)
0.000000 0.000000
1.000000 7.453248e-01
2.000000 6.208321e-01
3.000000 2.374328e-01
4.000000 5.180765e-02
# 3D harmonic oscillator
# eigenvalue = 1.443750e+00

#   r       u(r)
0.000000 0.000000
0.833333 6.039881e-01
1.666667 6.752339e-01
2.500000 3.951209e-01
3.333333 1.475916e-01
4.166667 3.679233e-02
# 3D harmonic oscillator
# eigenvalue = 1.459275e+00

#   r       u(r)
0.000000 0.000000
0.714286 4.959887e-01
1.428571 6.549773e-01
2.142857 4.968128e-01
2.857143 2.597372e-01
3.571429 9.972691e-02
4.285714 2.771543e-02
# 3D harmonic oscillator
# eigenvalue = 1.469138e+00

#   r       u(r)
0.000000 0.000000
0.625000 4.145690e-01
1.250000 6.070389e-01
1.875000 5.437669e-01
2.500000 3.551246e-01
3.125000 1.794335e-01
3.750000 7.188991e-02
4.375000 2.181576e-02
# 3D harmonic oscillator
# eigenvalue = 1.475809e+00

#   r       u(r)
0.000000 0.000000
0.555556 3.522914e-01
1.111111 5.525051e-01
1.666667 5.536861e-01
2.222222 4.213392e-01
2.777778 2.576205e-01
3.333333 1.299372e-01
3.888889 5.446819e-02
4.444444 1.774982e-02
# 3D harmonic oscillator
# eigenvalue = 1.480538e+00

#   r       u(r)
0.000000 0.000000
0.500000 3.037269e-01
1.000000 4.997797e-01
1.500000 5.420830e-01
2.000000 4.599732e-01
2.500000 3.226047e-01
3.000000 1.918465e-01
3.500000 9.799294e-02
4.000000 4.289468e-02
4.500000 1.481431e-02
# 3D harmonic oscillator
# eigenvalue = 1.484015e+00

#   r       u(r)
0.000000 0.000000
0.454545 2.651333e-01
0.909091 4.518024e-01
1.363636 5.192290e-01
1.818182 4.773237e-01
2.272727 3.705687e-01
2.727273 2.490603e-01
3.181818 1.468742e-01
3.636364 7.645959e-02
4.090909 3.482427e-02
4.545455 1.261478e-02
# 3D harmonic oscillator
# eigenvalue = 1.486646e+00

#   r       u(r)
0.000000 0.000000
0.416667 2.339316e-01
0.833333 4.092486e-01
1.250000 4.912743e-01
1.666667 4.798196e-01
2.083333 4.023729e-01
2.500000 2.968734e-01
2.916667 1.952835e-01
3.333333 1.153948e-01
3.750000 6.137238e-02
4.166667 2.896858e-02
4.583333 1.091646e-02
# 3D harmonic oscillator
# eigenvalue = 1.488687e+00

#   r       u(r)
0.000000 0.000000
0.384615 2.083174e-01
0.769231 3.718987e-01
1.153846 4.617188e-01
1.538462 4.725927e-01
1.923077 4.207592e-01
2.307692 3.338127e-01
2.692308 2.390974e-01
3.076923 1.558221e-01
3.461538 9.278934e-02
3.846154 5.044027e-02
4.230769 2.457783e-02
4.615385 9.572420e-03
# 3D harmonic oscillator
# eigenvalue = 1.490302e+00

#   r       u(r)
0.000000 0.000000
0.357143 1.870039e-01
0.714286 3.392210e-01
1.071429 4.324745e-01
1.428571 4.593503e-01
1.785714 4.288015e-01
2.142857 3.603439e-01
2.500000 2.761513e-01
2.857143 1.945019e-01
3.214286 1.265101e-01
3.571429 7.614908e-02
3.928571 4.228520e-02
4.285714 2.119379e-02
4.642857 8.486726e-03
# 3D harmonic oscillator
# eigenvalue = 1.491602e+00

#   r       u(r)
0.000000 0.000000
0.333333 1.690562e-01
