# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00
0.0100  9.999967101380498e-03  9.999868405707613e-01  4.999868406573466e-01  1.315934265666916e-05
0.0200  1.999947362901483e-02  9.998947269904300e-01  4.998947325316333e-01  1.052674683796206e-04
0.0300  2.999733534206488e-02  9.996447258001329e-01  4.996447889100114e-01  3.552110900174851e-04
0.0400  3.999157895077230e-02  9.991579710589982e-01  4.991583255653669e-01  8.416744346845198e-04
0.0500  4.997944315496986e-02  9.983557421866025e-01  4.983570939784809e-01  1.642906021599230e-03
0.0600  5.995738061604899e-02  9.971595727827035e-01  4.971636067960919e-01  2.836393204023456e-03
0.0700  6.992106117108220e-02  9.954913901880031e-01  4.955015539692216e-01  4.498446030935132e-03
0.0800  7.986537659473439e-02  9.932736854033074e-01  4.932963070573342e-01  6.703692942869681e-03
0.0900  8.978444720989123e-02  9.904297128027567e-01  4.904755080012756e-01  9.524491998981208e-03
0.1000  9.967163064123831e-02  9.868837188610378e-01  4.869697372764959e-01  1.303026272381905e-02
0.1100  1.095195329970099e-01  9.825611988663808e-01  4.827132547588698e-01  1.728674524150818e-02
0.1200  1.193200227524764e-01  9.773891803130186e-01  4.776448048964771e-01  2.235519510396852e-02
0.1300  1.290642475941734e-01  9.712965313616030e-01  4.717084759175407e-01  2.829152408297652e-02
0.1400  1.387426544661329e-01  9.642142924275494e-01  4.648546008607799e-01  3.514539913981228e-02
0.1500  1.483450130382556e-01  9.560760286098093e-01  4.570406862411525e-01  4.295931375951681e-02
0.1600  1.578604427922897e-01  9.468182003114171e-01  4.482323522204754e-01  5.176764778027271e-02
0.1700  1.672774438925555e-01  9.363805490342508e-01  4.384042663048425e-01  6.159573369598518e-02
0.1800  1.765839319765275e-01  9.247064949605703e-01  4.275410509111316e-01  7.245894908977540e-02
0.1900  1.857672769646852e-01  9.117435425704377e-01  4.156381437094457e-01  8.436185629153962e-02
0.2000  1.948143459497747e-01  8.974436901951554e-01  4.027025885355490e-01  9.729741146551231e-02
0.2100  2.037115501829722e-01  8.817638390809145e-01  3.887537339553565e-01  1.112462660457778e-01
0.2200  2.124448961286808e-01  8.646661972428279e-01  3.738238163271865e-01  1.261761836740163e-01
0.2300  2.210000405111935e-01  8.461186731365467e-01  3.579584045151751e-01  1.420415954860914e-01
0.2400  2.293623492256636e-01  8.260952539717731e-01  3.412166843173441e-01  1.587833156839800e-01
0.2500  2.375169599332982e-01  8.045763633480681e-01  3.236715622292013e-01  1.763284377721739e-01
0.2600  2.454488481070489e-01  7.815491928167098e-01  3.054095703962253e-01  1.945904296051933e-01
0.2700  2.531428962400400e-01  7.570080019706490e-01  2.865305575237971e-01  2.134694424776569e-01
0.2800  2.605839658753223e-01  7.309543817443763e-01  2.671471540956517e-01  2.328528459058292e-01
0.2900  2.677569720631157e-01  7.033974757720856e-01  2.473840044612708e-01  2.526159955402284e-01
0.3000  2.746469598014005e-01  6.743541549096632e-01  2.273767631219630e-01  2.726232368795454e-01
0.3100  2.812391819684419e-01  6.438491403757359e-01  2.072708577812871e-01  2.927291422202223e-01
0.3200  2.875191782125163e-01  6.119150714092957e-01  1.872200273089217e-01  3.127799726925805e-01
0.3300  2.934728542256788e-01  5.785925138741840e-01  1.673846485556239e-01  3.326153514458631e-01
0.3400  2.990865607957355e-01  5.439299068595793e-01  1.479298717881353e-01  3.520701282133298e-01
0.3500  3.043471720045043e-01  5.079834450239614e-01  1.290235902092060e-01  3.709764097922310e-01
0.3600  3.092421619217133e-01  4.708168951988757e-01  1.108342744023545e-01  3.891657255990493e-01
0.3700  3.137596791331480e-01  4.325013465970823e-01  9.352870740414478e-02  4.064712925972224e-01
0.3800  3.178886184394391e-01  3.931148948442282e-01  7.726966027419430e-02  4.227303397271339e-01
0.3900  3.216186890685917e-01  3.527422609590714e-01  6.221355133325879e-02  4.377864486680298e-01
0.4000  3.249404787611976e-01  3.114743473281724e-01  4.850813452175549e-02  4.514918654794933e-01
0.4100  3.278455131123416e-01  2.694077336393112e-01  3.629026347233503e-02  4.637097365288760e-01
0.4200  3.303263095883593e-01  2.266441166355436e-01  2.568377780275295e-02  4.743162221984230e-01
0.4300  3.323764256795660e-01  1.832896984104016e-01  1.679755677168799e-02  4.832024432294577e-01
0.4400  3.339905007013334e-01  1.394545287661607e-01  9.723782796695977e-03  4.902762172044245e-01
0.4500  3.351642908148229e-01  9.525180788406361e-02  4.536453452591281e-03  4.954635465485095e-01
0.4600  3.358946969044307e-01  5.079715619187731e-02  1.290175538590990e-03  4.987098244624968e-01
0.4700  3.361797850206086e-01  6.207858845924717e-03  1.926875572546288e-05  4.999807312453572e-01
0.4800  3.360187991730703e-01  -3.839790734029953e-02  7.371996440571144e-04  4.992628003570274e-01
0.4900  3.354121663392690e-01  -8.290185640015429e-02  3.436358897295902e-03  4.965636411037975e-01
0.5000  3.343614936351272e-01  -1.271863768740505e-01  8.088187231174009e-03  4.919118127699353e-01
0.5100  3.328695576779768e-01  -1.711353083302449e-01  1.464364687864400e-02  4.853563531224874e-01
0.5200  3.309402862541468e-01  -2.146347025685648e-01  2.303402777334815e-02  4.769659722278106e-01
0.5300  3.285787324842621e-01  -2.575735615816062e-01  3.317206981291675e-02  4.668279301882737e-01
0.5400  3.257910417567695e-01  -2.998445447286059e-01  4.495337550175248e-02  4.550466244994736e-01
0.5500  3.225844117732521e-01  -3.413446380775635e-01  5.825808097215142e-02  4.417419190291123e-01
