# omega0=1, alpha=2.5
# theta0=3.14159, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  3.141590000000000e+00  0.000000000000000e+00
9.119282013323059e-02 3.141589989752021e+00 -2.166856450261969e-07
1.823856402664613e-01 3.141589961770447e+00 -3.908098916451498e-07
2.735784603996920e-01 3.141589919462250e+00 -5.323451017055995e-07
3.647712805329227e-01 3.141589865433243e+00 -6.489881479030702e-07
4.559641006661534e-01 3.141589801670795e+00 -7.466815738993430e-07
5.471569207993838e-01 3.141589729684695e+00 -8.300154555830092e-07
6.383497409326140e-01 3.141589650615749e+00 -9.025372737543996e-07
7.295425610658441e-01 3.141589565319489e+00 -9.669908574417016e-07
8.207353811990743e-01 3.141589474430699e+00 -1.025500635513011e-06
9.119282013323045e-01 3.141589378413139e+00 -1.079713717193977e-06
1.003121021465535e+00 3.141589277597857e+00 -1.130909456172912e-06
1.094313841598765e+00 3.141589172212716e+00 -1.180083941822863e-06
1.185506661731995e+00 3.141589062405116e+00 -1.228015158259680e-06
1.276699481865225e+00 3.141588948259501e+00 -1.275313237006974e-06
1.367892301998455e+00 3.141588829810818e+00 -1.322459215806737e-06
1.459085122131685e+00 3.141588707054870e+00 -1.369834935478791e-06
1.550277942264916e+00 3.141588579956261e+00 -1.417746103890911e-06
1.641470762398146e+00 3.141588448454498e+00 -1.466440091323143e-06
1.732663582531376e+00 3.141588312468652e+00 -1.516119664035124e-06
1.823856402664606e+00 3.141588171900927e+00 -1.566953586335632e-06
1.915049222797836e+00 3.141588026639365e+00 -1.619084807901456e-06
2.006242042931067e+00 3.141587876559905e+00 -1.672636790256678e-06
2.097434863064297e+00 3.141587721527925e+00 -1.727718398488641e-06
2.188627683197527e+00 3.141587561399393e+00 -1.784427686784746e-06
2.279820503330757e+00 3.141587396021714e+00 -1.842854832132398e-06
2.371013323463987e+00 3.141587225234341e+00 -1.903084411263448e-06
2.462206143597217e+00 3.141587048869199e+00 -1.965197171645693e-06
2.553398963730448e+00 3.141586866750971e+00 -2.029271413054034e-06
2.644591783863678e+00 3.141586678697269e+00 -2.095384069089940e-06
2.735784603996908e+00 3.141586484518720e+00 -2.163611558372029e-06
2.826977424130138e+00 3.141586284018978e+00 -2.234030457979561e-06
2.918170244263368e+00 3.141586076994684e+00 -2.306718041178239e-06
3.009363064396598e+00 3.141585863235388e+00 -2.381752710497329e-06
3.100555884529828e+00 3.141585642523419e+00 -2.459214350797557e-06
3.191748704663059e+00 3.141585414633750e+00 -2.539184621720605e-06
3.282941524796289e+00 3.141585179333809e+00 -2.621747203396346e-06
3.374134344929519e+00 3.141584936383299e+00 -2.706988007329850e-06
3.465327165062749e+00 3.141584685533974e+00 -2.794995360777618e-06
3.556519985195979e+00 3.141584426529422e+00 -2.885860171626545e-06
3.647712805329209e+00 3.141584159104815e+00 -2.979676078579887e-06
3.738905625462440e+00 3.141583882986656e+00 -3.076539591509201e-06
3.830098445595670e+00 3.141583597892511e+00 -3.176550224089589e-06
3.921291265728900e+00 3.141583303530728e+00 -3.279810622147809e-06
4.012484085862130e+00 3.141582999600149e+00 -3.386426688895417e-06
4.103676905995361e+00 3.141582685789806e+00 -3.496507708873312e-06
4.194869726128591e+00 3.141582361778602e+00 -3.610166471941131e-06
4.286062546261821e+00 3.141582027234993e+00 -3.727519398031600e-06
4.377255366395051e+00 3.141581681816647e+00 -3.848686663370023e-06
4.468448186528281e+00 3.141581325170098e+00 -3.973792329052424e-06
4.559641006661511e+00 3.141580956930381e+00 -4.102964472209393e-06
4.650833826794742e+00 3.141580576720669e+00 -4.236335320364984e-06
4.742026646927972e+00 3.141580184151876e+00 -4.374041389332879e-06
4.833219467061202e+00 3.141579778822269e+00 -4.516223624895485e-06
4.924412287194432e+00 3.141579360317055e+00 -4.663027548472962e-06
5.015605107327662e+00 3.141578928207955e+00 -4.814603407201464e-06
