# omega0=1, alpha=3
# theta0=3.14159, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  3.141590000000000e+00  0.000000000000000e+00
9.119282013323059e-02 3.141589989900318e+00 -2.120030822664156e-07
1.823856402664613e-01 3.141589962824649e+00 -3.748073042073437e-07
2.735784603996920e-01 3.141589922639020e+00 -5.013735987205433e-07
3.647712805329227e-01 3.141589872188691e+00 -6.012968990660472e-07
4.559641006661534e-01 3.141589813563179e+00 -6.816816391271155e-07
5.471569207993838e-01 3.141589748292363e+00 -7.477895725068633e-07
6.383497409326140e-01 3.141589677491566e+00 -8.035191219504090e-07
7.295425610658441e-01 3.141589601968900e+00 -8.517600720443668e-07
8.207353811990743e-01 3.141589522304681e+00 -8.946560233361832e-07
9.119282013323045e-01 3.141589438910173e+00 -9.337985963597426e-07
1.003121021465535e+00 3.141589352071046e+00 -9.703711345934257e-07
1.094313841598765e+00 3.141589261979519e+00 -1.005255039914435e-06
1.185506661731995e+00 3.141589168758121e+00 -1.039108458722793e-06
1.276699481865225e+00 3.141589072477271e+00 -1.072424509170429e-06
1.367892301998455e+00 3.141588973168253e+00 -1.105574370623139e-06
1.459085122131685e+00 3.141588870832821e+00 -1.138839171649478e-06
1.550277942264916e+00 3.141588765450272e+00 -1.172433590291533e-06
1.641470762398146e+00 3.141588656982677e+00 -1.206523321750097e-06
1.732663582531376e+00 3.141588545378720e+00 -1.241238008673274e-06
1.823856402664606e+00 3.141588430576535e+00 -1.276680814264912e-06
1.915049222797836e+00 3.141588312505779e+00 -1.312935510968284e-06
2.006242042931067e+00 3.141588191089145e+00 -1.350071731568553e-06
2.097434863064297e+00 3.141588066243473e+00 -1.388148860551840e-06
2.188627683197527e+00 3.141587937880539e+00 -1.427218919220544e-06
2.279820503330757e+00 3.141587805907628e+00 -1.467328706866705e-06
2.371013323463987e+00 3.141587670227934e+00 -1.508521391383487e-06
2.462206143597217e+00 3.141587530740831e+00 -1.550837692742668e-06
2.553398963730448e+00 3.141587387342061e+00 -1.594316765336435e-06
2.644591783863678e+00 3.141587239923838e+00 -1.638996857682786e-06
2.735784603996908e+00 3.141587088374912e+00 -1.684915807825191e-06
2.826977424130138e+00 3.141586932580583e+00 -1.732111417029358e-06
2.918170244263368e+00 3.141586772422698e+00 -1.780621733815283e-06
3.009363064396598e+00 3.141586607779614e+00 -1.830485271822201e-06
3.100555884529828e+00 3.141586438526145e+00 -1.881741178756788e-06
3.191748704663059e+00 3.141586264533506e+00 -1.934429369766042e-06
3.282941524796289e+00 3.141586085669229e+00 -1.988590634382714e-06
3.374134344929519e+00 3.141585901797084e+00 -2.044266724107425e-06
3.465327165062749e+00 3.141585712776987e+00 -2.101500426212716e-06
3.556519985195979e+00 3.141585518464904e+00 -2.160335627339072e-06
3.647712805329209e+00 3.141585318712741e+00 -2.220817369933349e-06
3.738905625462440e+00 3.141585113368250e+00 -2.282991903462690e-06
3.830098445595670e+00 3.141584902274902e+00 -2.346906732281371e-06
3.921291265728900e+00 3.141584685271780e+00 -2.412610661197504e-06
4.012484085862130e+00 3.141584462193454e+00 -2.480153839401310e-06
4.103676905995361e+00 3.141584232869859e+00 -2.549587803937865e-06
4.194869726128591e+00 3.141583997126165e+00 -2.620965522716767e-06
4.286062546261821e+00 3.141583754782645e+00 -2.694341437594543e-06
4.377255366395051e+00 3.141583505654537e+00 -2.769771508014734e-06
4.468448186528281e+00 3.141583249551907e+00 -2.847313255264391e-06
4.559641006661511e+00 3.141582986279500e+00 -2.927025807383097e-06
4.650833826794742e+00 3.141582715636597e+00 -3.008969945119424e-06
4.742026646927972e+00 3.141582437416858e+00 -3.093208148795157e-06
4.833219467061202e+00 3.141582151408164e+00 -3.179804646438141e-06
4.924412287194432e+00 3.141581857392460e+00 -3.268825463182713e-06
5.015605107327662e+00 3.141581555145585e+00 -3.360338471732149e-06
5.106797927460892e+00 3.141581244437101e+00 -3.454413444373793e-06
5.197990747594122e+00 3.141580925030121e+00 -3.551122106283837e-06
5.289183567727353e+00 3.141580596681126e+00 -3.650538190257597e-06
5.380376387860583e+00 3.141580259139776e+00 -3.752737493106486e-06
5.471569207993813e+00 3.141579912148726e+00 -3.857797933468186e-06
5.562762028127043e+00 3.141579555443425e+00 -3.965799611223880e-06
5.653954848260273e+00 3.141579188751917e+00 -4.076824868585316e-06
5.745147668393503e+00 3.141578811794631e+00 -4.190958352903525e-06
5.836340488526734e+00 3.141578424284170e+00 -4.308287081239485e-06
5.927533308659964e+00 3.141578025925089e+00 -4.428900506729050e-06
6.018726128793194e+00 3.141577616413675e+00 -4.552890586854527e-06
6.109918948926424e+00 3.141577195437711e+00 -4.680351853346071e-06
6.201111769059654e+00 3.141576762676238e+00 -4.811381484507214e-06
6.292304589192884e+00 3.141576317799315e+00 -4.946079379106493e-06
6.383497409326115e+00 3.141575860467758e+00 -5.084548232748752e-06
6.474690229459345e+00 3.141575390332895e+00 -5.226893615984412e-06
6.565883049592575e+00 3.141574907036288e+00 -5.373224054868874e-06
6.657075869725805e+00 3.141574410209462e+00 -5.523651113767718e-06
6.748268689859035e+00 3.141573899473633e+00 -5.678289480411222e-06
6.839461509992265e+00 3.141573374439406e+00 -5.837257053201141e-06
6.930654330125495e+00 3.141572834706489e+00 -6.000675031220498e-06
7.021847150258726e+00 3.141572279863383e+00 -6.168668006591432e-06
7.113039970391956e+00 3.141571709487067e+00 -6.341364059435633e-06
7.204232790525186e+00 3.141571123142678e+00 -6.518894855620834e-06
7.295425610658416e+00 3.141570520383179e+00 -6.701395747097204e-06
7.386618430791646e+00 3.141569900749019e+00 -6.889005875113112e-06
7.477811250924876e+00 3.141569263767780e+00 -7.081868276132268e-06
7.569004071058107e+00 3.141568608953817e+00 -7.280129991105902e-06
7.660196891191337e+00 3.141567935807893e+00 -7.483942177537538e-06
7.751389711324567e+00 3.141567243816791e+00 -7.693460224593578e-06
7.842582531457797e+00 3.141566532452928e+00 -7.908843871775136e-06
7.933775351591027e+00 3.141565801173951e+00 -8.130257330525825e-06
8.024968171724257e+00 3.141565049422321e+00 -8.357869409489817e-06
8.116160991857488e+00 3.141564276624894e+00 -8.591853643315082e-06
8.207353811990718e+00 3.141563482192478e+00 -8.832388424753063e-06
8.298546632123948e+00 3.141562665519385e+00 -9.079657140888240e-06
8.389739452257178e+00 3.141561825982976e+00 -9.333848312759348e-06
8.480932272390408e+00 3.141560962943173e+00 -9.595155739204101e-06
8.572125092523638e+00 3.141560075741985e+00 -9.863778644632192e-06
8.663317912656868e+00 3.141559163702996e+00 -1.013992183084316e-05
8.754510732790099e+00 3.141558226130857e+00 -1.042379583320842e-05
8.845703552923329e+00 3.141557262310748e+00 -1.071561708118782e-05
8.936896373056559e+00 3.141556271507840e+00 -1.101560806328071e-05
9.028089193189789e+00 3.141555252966732e+00 -1.132399749676678e-05
9.119282013323019e+00 3.141554205910873e+00 -1.164102050203582e-05
9.210474833456249e+00 3.141553129541974e+00 -1.196691878176158e-05
9.301667653589480e+00 3.141552023039397e+00 -1.230194080522251e-05
9.392860473722710e+00 3.141550885559527e+00 -1.264634199784208e-05
9.484053293855940e+00 3.141549716235135e+00 -1.300038493592316e-05
9.575246113989170e+00 3.141548514174713e+00 -1.336433954663568e-05
9.666438934122400e+00 3.141547278461791e+00 -1.373848331399790e-05
9.757631754255630e+00 3.141546008154247e+00 -1.412310149040516e-05
9.848824574388860e+00 3.141544702283581e+00 -1.451848731398375e-05
9.940017394522091e+00 3.141543359854178e+00 -1.492494223232822e-05
1.003121021465532e+01 3.141541979842550e+00 -1.534277613232151e-05
1.012240303478855e+01 3.141540561196559e+00 -1.577230757630004e-05
1.021359585492178e+01 3.141539102834611e+00 -1.621386404493201e-05
1.030478867505501e+01 3.141537603644828e+00 -1.666778218689951e-05
1.039598149518824e+01 3.141536062484210e+00 -1.713440807564621e-05
1.048717431532147e+01 3.141534478177752e+00 -1.761409747316635e-05
1.057836713545470e+01 3.141532849517559e+00 -1.810721610128649e-05
1.066955995558793e+01 3.141531175261916e+00 -1.861413992042453e-05
1.076075277572116e+01 3.141529454134349e+00 -1.913525541634044e-05
