# uniform1 uniform2 gaussian1 gaussian2
  0.169829 0.269831 -1.370609 0.516411
  0.720630 0.611099 -0.005297 -0.376497
  0.070516 0.792412 -2.185452 -0.986083
  0.424525 0.430869 0.851717 -0.879281
  0.955233 0.588130 0.404006 0.783184
  0.362422 0.794158 0.913251 -0.954984
  0.972207 0.058557 -0.859528 -0.467743
  0.375992 0.037882 0.028341 -0.799450
  0.698424 0.571916 -0.819028 1.309245
  0.510246 0.503221 -1.265961 0.778029
  0.472154 0.257186 -0.184792 -0.589262
  0.128447 0.174052 0.119622 0.654764
  0.271201 0.535997 1.432329 -2.213210
  0.111451 0.403328 0.984545 -0.760968
  0.808679 0.777213 -1.191434 0.215257
  0.490507 0.864115 -0.790730 0.328045
  0.097739 0.609692 1.344392 1.839529
  0.271815 0.645384 0.573917 -1.839243
  0.719243 0.885334 0.993663 -1.015450
  0.618406 0.745187 -0.314522 1.726892
  0.298082 0.050614 -0.537301 0.949812
  0.159474 0.121189 -0.122802 -0.699827
  0.979399 0.861872 0.723758 0.319816
  0.157253 0.402730 -0.970493 -1.259358
  0.784382 0.506780 -0.887566 -1.740753
  0.827334 0.970739 -0.350787 -0.650025
  0.874622 0.136161 1.036258 -1.074434
  0.493413 0.822614 -1.127126 -0.474730
  0.963991 0.840856 0.244107 -0.204716
  0.795289 0.634542 0.673671 -1.453661
  0.565220 0.228606 -2.801600 1.051016
  0.749788 0.227265 -0.057931 0.474452
  0.036771 0.020657 -0.276844 -0.073115
  0.116537 0.822986 -0.449535 -0.006596
  0.096429 0.091169 0.576306 0.293985
  0.386153 0.625220 -0.237059 -1.108322
  0.047112 0.606783 1.118942 0.926491
  0.172597 0.906240 -0.038594 0.731657
  0.621272 0.548370 -0.032734 -0.913114
  0.333023 0.185282 -1.783348 -0.446696
  0.951518 0.750052 -0.328428 0.666304
  0.743502 0.044500 -0.869019 -0.093563
  0.866856 0.034584 0.696595 -1.850471
  0.911185 0.513325 0.347877 -0.521849
  0.499030 0.769829 2.541934 -0.422115
  0.956584 0.799893 -0.171062 -0.669691
  0.996109 0.248786 0.826486 -0.024009
  0.904881 0.488550 0.375398 1.410758
  0.283606 0.675292 0.156793 1.049168
  0.561827 0.134454 -0.404207 1.101249
  0.608069 0.927309 0.267536 2.314341
  0.967923 0.652321 0.566087 1.724257
  0.298473 0.992406 -1.643101 0.355929
  0.316053 0.716352 0.170796 1.066522
  0.199925 0.757696 0.614477 0.014931
  0.761902 0.564172 -1.273879 -0.698208
  0.931603 0.771605 0.297186 -0.580776
  0.394673 0.198882 0.543716 0.005123
  0.460055 0.720233 1.006488 -0.518140
  0.120372 0.715859 -0.660474 0.317861
  0.896562 0.086661 -2.326276 -0.171304
  0.484617 0.386658 -0.289171 0.358063
  0.198823 0.853306 0.452591 -0.049024
  0.489264 0.626150 0.491453 -0.673785
  0.990766 0.998047 0.180736 0.281304
  0.840882 0.242422 0.395412 1.520631
  0.613092 0.127787 -1.263294 -1.432558
  0.193830 0.817440 -1.149462 -0.465892
  0.087748 0.842292 -0.580286 -0.167891
  0.868199 0.855239 1.018680 0.115785
  0.517088 0.210064 1.192916 1.484792
  0.056165 0.495716 -0.398139 1.514529
  0.098803 0.368122 -0.035741 2.303661
  0.001021 0.262726 0.153304 -0.326016
  0.755842 0.938406 1.537964 -1.380802
  0.402983 0.286002 0.460436 -2.190343
  0.343444 0.932236 0.118593 0.237681
  0.865546 0.708572 -0.288011 -1.060212
  0.574879 0.336564 -0.653864 0.571789
  0.667268 0.512864 0.460688 0.576552
  0.240865 0.733714 0.556309 -1.014048
  0.729429 0.386673 -1.397218 0.304381
  0.846697 0.957808 1.958998 0.341492
  0.912071 0.727701 -0.102121 1.130080
  0.694830 0.084979 0.433487 -0.390035
  0.846922 0.809785 -1.042009 -0.755474
  0.888429 0.579014 2.089176 0.773746
  0.134313 0.402815 -1.074006 -1.143820
  0.787427 0.555341 -0.870856 0.262792
  0.404156 0.301601 0.210056 0.342255
  0.416425 0.262328 -1.145890 0.004429
  0.078487 0.919932 0.041106 0.572136
  0.789597 0.216169 0.377381 0.709000
  0.855107 0.929014 -1.357369 0.502501
  0.989092 0.201073 0.512964 -1.641459
  0.447077 0.694236 2.031489 0.670969
  0.513478 0.169033 -0.440040 1.986074
  0.409584 0.077583 0.080730 -1.596885
  0.069874 0.330143 -1.107101 0.278547
  0.488028 0.963268 -1.205776 -0.207052
  0.729473 0.405918 1.348914 0.586110
  0.026331 0.984842 1.422517 1.026529
  0.763366 0.920730 1.324540 -0.326288
  0.367433 0.054726 0.113130 -1.035117
  0.048784 0.371751 -2.610389 0.200330
  0.283166 0.850978 0.656463 -0.404091
  0.210395 0.937174 1.814223 -0.881996
  0.348152 0.307665 -1.661043 -0.956641
  0.661460 0.265359 0.708070 1.549450
  0.568460 0.173733 -1.326193 -0.825769
  0.721829 0.724481 -0.284374 0.002038
  0.716778 0.769598 0.993766 1.430625
  0.572549 0.141334 0.013183 0.771108
  0.864626 0.817935 -0.671168 1.505036
  0.289234 0.241985 -0.112947 -0.324942
  0.044521 0.446718 0.188229 -0.848020
  0.937409 0.829192 2.121661 -0.265858
  0.002695 0.786719 -0.792958 0.622836
  0.784215 0.135170 -2.624066 0.824764
  0.619606 0.316837 0.659977 0.147699
  0.785665 0.667552 0.384206 -1.611149
  0.099566 0.592939 -0.850443 -0.202858
  0.568221 0.856805 0.665687 -1.744710
  0.064051 0.190189 -0.686164 -0.911965
  0.172590 0.967353 0.750939 0.705397
  0.835051 0.249174 1.731110 0.933841
  0.434283 0.167586 -0.465212 -1.656810
  0.951441 0.690708 1.731909 1.104673
  0.844885 0.037868 0.616415 0.692090
  0.780076 0.358299 2.495222 0.566545
  0.858228 0.079035 -0.526973 1.104815
  0.560429 0.493702 -0.269502 -2.160747
  0.041932 0.274454 -0.709848 0.579091
  0.099102 0.623299 -0.865480 0.207024
  0.179738 0.272311 0.530846 -2.161302
  0.499328 0.126568 0.297385 0.338801
  0.557495 0.265517 -1.820930 1.411201
  0.569715 0.691589 1.260919 0.069597
  0.419170 0.503348 0.290694 -0.784740
  0.190206 0.392769 0.562704 -1.522342
  0.435998 0.482272 0.111513 1.663063
  0.988271 0.577384 0.311623 0.139619
  0.031761 0.214138 -0.109216 0.118457
  0.077783 0.176579 0.496735 -0.420005
  0.962462 0.846119 0.556232 0.545459
  0.944971 0.838645 1.104615 0.410144
  0.302132 0.629870 0.332091 0.442368
  0.824329 0.897371 0.192536 -1.745716
  0.700003 0.218588 0.131886 -0.580108
  0.649594 0.707405 -0.971113 -0.727704
  0.190207 0.305680 -0.536583 -1.635911
  0.777512 0.138087 2.278410 -1.440021
  0.358014 0.556467 -0.704782 1.102344
  0.672434 0.658605 -1.478547 -1.224634
  0.099542 0.750649 0.107590 0.999914
  0.804996 0.333931 -0.481981 -0.865584
  0.296498 0.085296 0.310644 -0.227744
  0.657394 0.904871 -0.313487 -0.146216
  0.948695 0.049001 1.597757 0.061599
  0.481991 0.493368 1.133885 -0.468670
  0.769287 0.295666 -1.067747 -0.251447
  0.520404 0.451073 -0.862073 -0.013218
  0.931585 0.386305 -0.523202 -0.688788
  0.827916 0.100751 -1.707586 1.540124
  0.995263 0.030150 -0.889156 0.350412
  0.783670 0.979715 -0.968955 -1.164841
  0.350357 0.472064 -1.390681 1.494178
  0.842118 0.606591 0.398091 0.488150
  0.905556 0.070228 0.355827 -0.451105
  0.603203 0.916711 -1.666736 0.607633
  0.071603 0.154981 -1.407486 -1.202527
  0.076705 0.256401 0.471781 0.466021
  0.000216 0.422396 -0.787650 -1.217718
  0.454601 0.324870 -0.891639 0.234936
  0.980754 0.569293 -1.729035 -1.799288
  0.043715 0.092717 1.017311 -1.499597
  0.623397 0.462445 0.809037 0.539480
  0.133510 0.644537 -0.416310 0.711673
  0.245212 0.377870 0.915777 -0.751547
  0.601216 0.363373 0.145289 -1.936203
  0.005195 0.942285 0.888550 0.787366
  0.194514 0.039939 -0.122936 -0.208207
  0.150878 0.090923 -0.191629 -1.849656
  0.887776 0.628531 -1.337359 2.338564
  0.699428 0.697504 0.278187 0.981878
  0.383643 0.006304 0.228764 -0.154551
  0.809423 0.745477 -0.304085 -0.221725
  0.557257 0.090815 -1.808084 -0.403310
  0.611020 0.621231 -0.162625 1.348012
  0.620592 0.262775 0.726588 2.307862
  0.551450 0.632563 -0.731318 -0.352865
  0.512588 0.353062 0.243888 0.740223
  0.095286 0.221812 -1.064661 0.392865
  0.797674 0.650581 1.169364 0.645117
  0.029873 0.580270 -1.009304 1.828106
  0.847391 0.559463 -0.588276 0.274593
  0.200016 0.689100 -1.443414 -1.402820
  0.784096 0.916483 1.113567 -0.372397
  0.707514 0.831013 1.018232 0.528815
  0.798207 0.534479 -1.386751 0.921450
  0.343033 0.867155 0.019789 0.010661
  0.435940 0.872763 -0.582028 1.831480
  0.353712 0.042841 0.735026 1.140285
  0.918058 0.172863 -0.102202 0.127677
  0.266155 0.115812 1.657927 0.923252
  0.404247 0.303516 -0.169838 -1.212491
  0.448323 0.741877 -0.880864 1.546973
  0.164878 0.707054 -0.663416 0.389349
  0.360552 0.191389 -0.892155 1.320581
  0.985588 0.604061 0.512766 0.082456
  0.977986 0.893590 -0.239690 0.826421
  0.572917 0.124989 -1.709081 1.249146
  0.125950 0.286794 0.981747 -0.940788
  0.243040 0.708380 -1.495013 1.047177
  0.212476 0.943984 1.011756 0.197912
  0.165364 0.915337 1.087127 0.386989
  0.281853 0.001250 -0.702242 -0.904538
  0.560121 0.797608 0.890694 0.253243
  0.565958 0.996393 1.158407 1.060343
  0.994438 0.026476 1.358255 1.077151
  0.022494 0.515383 -1.073263 0.328471
  0.091860 0.758125 -0.171684 0.593651
  0.668778 0.881422 -1.399074 -1.069583
  0.462077 0.216723 0.553713 -0.249139
  0.477878 0.980266 -0.383009 -0.764806
  0.784967 0.380491 -0.982063 -0.542954
  0.898126 0.125663 1.256702 0.856866
  0.023913 0.259764 0.191041 0.367406
  0.032671 0.462880 -0.531501 0.919188
  0.896684 0.811893 1.299241 -0.991787
  0.685182 0.211444 -0.245436 -0.228586
  0.913244 0.290717 -0.852564 -1.261576
  0.503581 0.991346 0.214956 -1.074773
  0.559301 0.515449 -0.822577 0.159108
  0.061505 0.195479 -0.274661 2.629481
  0.226176 0.127933 -0.832101 -0.992627
  0.130639 0.368207 -0.600291 -0.474880
  0.431937 0.813459 0.081357 -1.649249
  0.951281 0.145702 0.133229 0.895861
  0.866716 0.312625 1.386058 -0.580175
  0.885230 0.481141 0.372278 0.365549
  0.220216 0.307895 0.829776 0.708892
  0.675727 0.726968 -1.411759 -1.246226
  0.841791 0.309154 -0.197038 0.796253
  0.173786 0.477444 0.229224 1.219631
  0.709754 0.893012 -0.671892 -0.937968
  0.271581 0.724974 0.225239 -1.003104
  0.053984 0.520426 -0.671331 -0.216059
  0.952683 0.363687 0.572246 0.894767
  0.098357 0.719456 1.219939 0.046979
  0.064443 0.830375 0.564051 -1.189942
  0.164945 0.626358 0.395453 1.424697
  0.270243 0.043386 -0.302707 0.385249
  0.257219 0.846716 -0.375855 0.360599
  0.682733 0.965711 1.027035 -2.068499
  0.332867 0.588334 -0.266936 0.319826
  0.655771 0.337687 2.770331 1.044397
  0.896743 0.586032 -0.182380 0.932699
  0.800007 0.389559 -0.199884 0.957493
  0.365979 0.747328 -1.600597 -1.572197
  0.611240 0.427853 -0.195165 0.338987
  0.870106 0.176226 -0.232091 -0.041622
  0.732331 0.459835 -1.452466 0.583724
  0.515205 0.003771 -0.334761 1.158895
  0.430282 0.202727 0.442237 0.238052
  0.237053 0.758546 -0.688907 -1.215420
  0.377653 0.467703 -0.658499 1.075431
  0.618378 0.072975 0.095693 0.236477
  0.156329 0.428534 0.724646 -0.475120
  0.483111 0.072570 2.441367 0.332027
  0.029060 0.208522 0.264663 -0.901609
  0.983098 0.113339 0.095535 -2.168372
  0.874485 0.303401 -1.355110 -1.946465
  0.333105 0.745005 1.067023 -1.434104
  0.456106 0.661817 0.492421 -1.061170
  0.643412 0.309937 -1.161218 -1.098633
  0.129134 0.102545 0.012935 -0.944878
  0.156762 0.447156 -0.806877 -0.455484
  0.980591 0.920531 -0.635375 0.170660
  0.714789 0.347844 1.623766 0.619872
  0.674298 0.535454 -1.760314 -0.157619
  0.179528 0.936759 0.209069 1.394925
  0.818998 0.126979 -0.799887 0.284810
  0.291255 0.524850 1.888167 1.504247
  0.224124 0.646602 0.229507 0.342397
  0.804497 0.203933 0.196641 0.865677
  0.769821 0.238099 0.588749 -0.590447
  0.685207 0.966654 -0.291808 -2.488142
  0.281511 0.818456 1.579945 0.067531
  0.238523 0.795197 0.339030 0.154404
  0.469824 0.158605 0.034015 0.107052
  0.945435 0.848510 0.632838 -0.861785
  0.451966 0.371552 0.067903 1.286099
  0.000920 0.490848 0.715493 -0.711216
  0.375478 0.273067 1.304961 -0.030651
  0.358184 0.184578 0.180477 2.228716
  0.882403 0.911456 -1.108020 -1.447073
  0.959400 0.219307 0.275919 0.147996
  0.075237 0.921053 -0.042181 -0.847767
  0.890580 0.788274 -0.125805 0.974469
  0.110737 0.375586 0.270959 0.606270
  0.944280 0.804204 -1.603481 0.241798
  0.592436 0.439681 1.435052 0.076908
  0.316779 0.561644 1.814212 -1.887973
  0.762814 0.394674 0.034930 -1.050885
  0.769281 0.972260 0.889351 1.149310
  0.364490 0.274928 0.674022 -1.964600
  0.060132 0.548255 -1.599698 -0.128123
  0.239763 0.827655 -0.383608 0.228770
  0.329619 0.631575 -0.597200 0.912602
  0.189902 0.378876 0.680772 -0.139016
  0.745284 0.876731 0.013544 -0.211462
  0.743596 0.020982 0.208102 0.000114
  0.584528 0.632350 -0.227049 0.808625
  0.343242 0.698962 -1.214156 1.134038
  0.249774 0.293652 0.857426 0.270976
  0.652250 0.216427 -0.253305 0.629790
  0.442152 0.688025 -0.634926 -0.710073
  0.638921 0.533967 -0.053522 0.781135
  0.547840 0.399095 -0.175447 -0.399316
  0.644435 0.692178 -0.210465 2.089057
  0.827316 0.148991 -0.235969 -0.719947
  0.421775 0.149499 -0.887486 0.224332
  0.650322 0.363370 0.257045 -1.105118
  0.145230 0.669397 -1.679798 0.138458
  0.027356 0.394530 0.718608 1.611017
  0.176285 0.762825 0.759527 0.964069
  0.377176 0.398810 0.198127 0.516696
  0.055595 0.699280 -1.607336 -0.267013
  0.761611 0.384774 0.429820 -2.380657
  0.566976 0.772017 -0.451935 0.335468
  0.282269 0.272283 0.151600 -0.856814
  0.660007 0.807780 -0.569099 -0.667054
  0.027258 0.604318 1.366523 -0.843951
  0.312901 0.627977 0.559529 -0.508012
  0.017602 0.193344 -0.399306 -1.127002
  0.059552 0.766963 0.121183 -0.329125
  0.791951 0.107921 -1.459741 1.287412
  0.177492 0.559758 1.511677 -0.575767
  0.399693 0.345167 1.679814 -0.131811
  0.698546 0.005232 0.402371 -0.545350
  0.994721 0.588257 -0.297513 0.910166
  0.249666 0.548543 0.122433 0.468649
  0.147713 0.576821 0.088867 -1.874052
  0.835496 0.788922 0.272692 -1.598179
  0.642981 0.716765 -0.478091 0.270608
  0.868011 0.498937 0.345611 -0.074895
  0.014469 0.752294 -2.025532 -0.885683
  0.114032 0.660434 0.527797 -0.295897
  0.281984 0.300193 1.881988 0.222389
  0.120673 0.585901 0.386310 -0.437392
  0.444535 0.986560 -0.925111 0.568674
  0.115499 0.474760 -0.355277 0.456762
  0.074158 0.361647 -0.504944 0.502810
  0.774111 0.536841 -0.147547 -0.748555
  0.589740 0.276494 -0.679436 1.276220
  0.946842 0.148981 1.913713 -0.770555
  0.062333 0.103835 1.318046 -1.825773
  0.604041 0.778737 -0.787040 0.083401
  0.700787 0.178630 -0.741297 -0.885337
  0.604247 0.933382 1.212440 0.024649
  0.851553 0.555174 -1.913060 0.360540
  0.956366 0.863222 -0.214199 0.143242
  0.373432 0.457260 -0.533287 -0.440137
  0.767752 0.293463 2.387119 -1.177477
  0.145559 0.548331 -0.019289 -2.444921
  0.151035 0.841059 0.708435 0.701934
  0.265153 0.963009 -1.007017 0.083492
  0.050859 0.697206 -0.454155 -0.734660
  0.233950 0.417490 -0.402496 -0.939765
  0.385946 0.647270 0.793229 0.878281
  0.969612 0.454585 -0.648420 0.293183
  0.230698 0.766635 0.479737 -1.123061
  0.926099 0.983188 -0.747800 0.745172
  0.111352 0.742152 -0.960331 1.029710
  0.961849 0.669019 -1.496710 -0.960264
  0.020506 0.443923 0.487318 -0.306521
  0.054625 0.859495 -0.577114 1.669453
  0.986138 0.857669 -0.476260 -1.282243
  0.941202 0.055810 3.004818 -2.436296
  0.633195 0.836535 1.311625 1.632616
  0.378100 0.822158 1.112291 -2.362372
  0.103258 0.587822 1.287218 -0.859371
  0.358616 0.339209 0.629034 0.179652
  0.191178 0.392491 1.608031 0.724435
  0.643275 0.861093 -1.514728 -0.191616
  0.616274 0.402068 -0.791201 -0.425134
  0.961063 0.547050 0.210332 0.391991
  0.334012 0.798021 -0.837595 -0.716252
  0.479077 0.129490 0.097527 -0.252008
  0.946374 0.299538 -0.322322 -1.030674
  0.880829 0.657583 0.792515 -1.802375
  0.183373 0.014006 0.807437 1.741177
  0.727868 0.874199 -0.568464 0.021290
  0.578298 0.601728 -0.381746 -0.005361
  0.414908 0.907987 -1.083153 -0.350228
  0.648953 0.438711 0.777138 -0.854858
  0.521374 0.805336 -1.742052 0.831374
  0.905300 0.631400 0.655657 0.353824
  0.966102 0.138313 -0.825893 -0.464368
  0.603038 0.827820 -1.435800 0.925614
  0.660670 0.300455 0.588234 -1.936467
  0.999575 0.376534 -0.492123 -1.162707
  0.145900 0.247153 0.999538 -0.070937
  0.104449 0.526718 0.085934 0.290061
  0.466769 0.042777 0.174888 2.409136
  0.454870 0.189910 -0.346688 0.492240
  0.052920 0.018219 -0.680309 -0.505074
  0.118511 0.029815 -0.699604 0.027274
  0.569730 0.502512 3.031787 -0.413761
  0.311416 0.813490 -0.170402 0.240146
  0.192108 0.626186 1.993943 -3.193275
  0.500496 0.278897 0.288880 1.395192
  0.445562 0.179121 2.575541 -0.555843
  0.357062 0.433791 -1.578140 -1.486372
  0.253297 0.550822 0.888881 -0.520738
  0.918932 0.697491 -0.968092 0.295065
  0.426717 0.305461 0.086286 -1.744285
  0.922476 0.115656 1.338817 -0.177155
  0.171366 0.220192 -0.081432 0.572946
  0.140453 0.777770 0.302080 -0.198319
  0.669158 0.696121 -1.383339 0.095930
  0.056410 0.069263 0.435102 0.595620
  0.592481 0.204967 -0.608413 -0.331259
  0.351658 0.212304 -1.126923 -1.356547
  0.512641 0.102405 -0.029724 0.925669
  0.784415 0.784569 -2.150113 -1.646548
  0.235632 0.198980 -0.287406 -2.493080
  0.586898 0.186750 -0.367298 0.266732
  0.636803 0.015733 0.125906 0.290093
  0.855366 0.087849 0.155572 1.188614
  0.390320 0.330933 0.425300 0.803714
  0.564188 0.050680 2.232566 0.909188
  0.275063 0.852604 -2.024982 -0.215324
  0.144511 0.322021 0.636305 0.310941
  0.644945 0.245457 1.797214 -0.469106
  0.362153 0.612564 0.351752 0.702330
  0.069479 0.904641 -0.437106 1.079295
  0.522432 0.088331 -0.625901 -0.588800
  0.917916 0.459175 0.838914 -0.308234
  0.162093 0.483508 -0.227135 1.919357
  0.188874 0.920891 0.209757 0.063045
  0.228498 0.145934 -0.344688 0.675991
  0.320226 0.335181 -0.057402 -0.059060
  0.603658 0.988207 0.955030 0.303470
  0.173176 0.166948 1.625579 0.444528
  0.590769 0.596177 2.442611 0.324168
  0.329999 0.186568 -0.277012 -1.961702
  0.392895 0.616045 0.103532 0.443750
  0.113963 0.055755 1.357671 -0.888264
  0.639285 0.765636 -1.266911 0.109801
  0.361287 0.959217 0.337458 2.061260
  0.500470 0.589301 1.658398 -0.501271
  0.150395 0.103820 0.018802 -0.794171
  0.647513 0.257099 0.593613 1.552909
  0.277539 0.846323 -0.826579 0.779156
  0.072870 0.846799 0.230205 0.562255
  0.261476 0.550877 0.038606 -1.228681
  0.952720 0.205319 -1.462991 0.466538
  0.852519 0.525291 -1.387328 -0.121029
  0.582274 0.680731 0.352976 0.118666
  0.786931 0.564113 1.099076 0.762858
  0.756558 0.380676 0.299234 -1.040190
  0.044411 0.480591 0.183574 0.053575
  0.349364 0.698563 1.526649 -1.326962
  0.370182 0.594781 1.224951 -0.393571
  0.209564 0.092570 0.963395 1.420843
  0.361577 0.166528 1.213011 0.535515
  0.745376 0.758951 0.097448 0.240036
  0.692882 0.157430 1.584306 1.225875
  0.510832 0.253146 -0.252910 -2.200476
  0.815020 0.165097 -0.427508 1.021254
  0.207116 0.353829 -2.149903 1.716325
  0.398245 0.371359 1.063641 -0.536842
  0.946151 0.896698 0.840504 -2.569121
  0.674305 0.224644 0.796235 0.658322
  0.749129 0.051171 -0.326039 -2.064769
  0.361092 0.062826 1.000783 0.382580
  0.384015 0.706768 0.070809 0.678636
  0.761586 0.809682 -0.716389 -1.497376
  0.433188 0.256515 0.561087 0.339749
  0.865975 0.140470 -0.317627 0.219758
  0.726557 0.327349 0.278940 -0.358934
  0.944786 0.708383 1.399436 1.553181
  0.401630 0.764519 1.083763 -1.832593
  0.900825 0.029768 0.871111 0.262052
  0.819566 0.755122 0.062843 1.114349
  0.019248 0.926723 1.039958 0.570819
  0.819312 0.798907 -0.474478 -0.478654
  0.003963 0.198437 0.834771 -0.828815
  0.902183 0.139984 -1.382079 -0.226178
  0.191919 0.921652 -1.104498 0.546631
  0.513215 0.045376 -1.144128 0.998198
  0.447193 0.700518 1.361775 1.556106
  0.748602 0.036682 0.308619 0.370609
  0.857627 0.558573 -1.214432 -1.280261
  0.459357 0.056330 0.495489 1.295805
  0.827329 0.275407 -1.242703 0.866738
  0.326128 0.808560 -0.543235 0.314263
  0.875022 0.224919 0.403575 -0.339904
  0.084077 0.390687 -0.543472 -0.811004
  0.577742 0.699389 -0.115626 0.425555
  0.532390 0.494648 1.251628 -0.669564
  0.836018 0.588515 -1.134361 0.309735
  0.589663 0.451412 0.210507 0.179610
  0.810710 0.684054 0.144941 -1.529552
  0.053557 0.775355 0.171833 -1.215573
  0.702353 0.273487 -1.007261 1.106535
  0.487124 0.061191 -0.168047 -1.407217
  0.840679 0.094565 1.555805 -0.721660
  0.964574 0.839184 0.498145 -1.477744
  0.904873 0.958100 -0.632488 0.309077
  0.076070 0.631517 0.610684 1.654753
  0.180750 0.364943 -0.051294 -0.964587
  0.893591 0.387725 -0.322523 -0.590842
  0.389847 0.730359 0.117369 -1.738121
  0.855676 0.236841 -1.054855 -0.547899
  0.225986 0.709947 0.462349 -0.652275
  0.963973 0.967010 -0.541453 0.804164
  0.950387 0.562112 0.056286 0.260383
  0.918715 0.675050 -0.255080 -0.632562
  0.918791 0.833159 1.245993 -0.136469
  0.008691 0.995081 2.509619 -0.907993
  0.508092 0.902268 -2.366800 -0.323007
  0.528281 0.900602 0.439183 0.486755
  0.657919 0.998915 0.038921 -0.996579
  0.518538 0.788976 0.259890 -0.825132
  0.863771 0.620506 3.047611 -1.682407
  0.137189 0.115568 1.129164 0.774622
  0.262511 0.434901 -1.148165 -0.665606
  0.367980 0.036811 -1.102242 0.940557
  0.409436 0.064646 -0.291374 0.021523
  0.044925 0.044555 -0.813411 0.579120
  0.850977 0.777886 0.528865 -0.708651
  0.093216 0.537135 1.070542 -0.112870
  0.153892 0.115832 -0.585137 -0.352039
  0.082386 0.079718 -0.679762 -0.472208
  0.535112 0.825571 -0.975294 -0.701575
  0.451035 0.003236 -0.688078 0.149823
  0.484421 0.354064 -1.436499 1.137557
  0.084063 0.953933 0.793833 -0.332504
  0.618486 0.990042 0.725489 -0.134866
  0.443919 0.101019 -0.580647 -0.920234
  0.031266 0.752584 -0.033604 -0.633735
  0.139397 0.875647 -0.557686 0.166091
  0.041176 0.226787 0.054624 -0.816792
  0.140814 0.095061 0.743548 0.402761
  0.546621 0.603006 0.202729 0.716123
  0.409708 0.605852 0.181843 0.400323
  0.136339 0.327897 -0.170411 0.758426
  0.228514 0.320180 -0.866565 0.031423
  0.010617 0.406867 0.258480 -0.947596
  0.046259 0.145355 -0.353603 -0.806772
  0.023222 0.209085 -0.891994 -0.088090
  0.740735 0.985096 0.443906 -1.917202
  0.154955 0.343939 1.631331 1.440483
  0.302621 0.199362 -0.753416 -0.846930
  0.223415 0.757294 -0.329367 -0.980323
  0.975465 0.440580 0.933167 0.815974
  0.882891 0.774230 -0.149666 -0.892833
  0.934716 0.850895 -3.038189 1.872756
  0.588504 0.415363 -0.461775 0.359265
  0.379036 0.575375 0.636387 -1.501947
  0.247464 0.381909 -0.653162 0.686183
  0.172746 0.993997 0.054674 0.345728
  0.605326 0.154909 -0.709761 -0.405707
  0.762514 0.946855 -1.837035 -1.113391
  0.731154 0.777583 0.206985 -0.003812
  0.960864 0.450105 0.288059 -2.830842
  0.904335 0.304354 1.182498 0.992872
  0.984360 0.296897 0.193397 -0.941902
  0.303648 0.266032 -0.956212 -0.131583
  0.204232 0.195640 -0.297529 0.485529
  0.645909 0.556206 1.394097 -1.285931
