# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -268.000
      1     -368.000
      2     -444.000
      3     -458.000
      4     -476.000
      5     -502.000
      6     -532.000
      7     -542.000
      8     -542.000
      9     -548.000
     10     -580.000
     11     -600.000
     12     -598.000
     13     -612.000
     14     -618.000
     15     -628.000
     16     -622.000
     17     -618.000
     18     -630.000
     19     -632.000
     20     -642.000
     21     -644.000
     22     -642.000
     23     -630.000
     24     -628.000
     25     -640.000
     26     -640.000
     27     -646.000
     28     -638.000
     29     -644.000
     30     -632.000
     31     -644.000
     32     -646.000
     33     -652.000
     34     -654.000
     35     -656.000
     36     -664.000
     37     -654.000
     38     -662.000
     39     -662.000
     40     -654.000
     41     -666.000
     42     -668.000
     43     -674.000
     44     -668.000
     45     -672.000
     46     -678.000
     47     -682.000
     48     -678.000
     49     -686.000
     50     -690.000
     51     -686.000
     52     -686.000
     53     -682.000
     54     -690.000
     55     -692.000
     56     -694.000
     57     -692.000
     58     -686.000
     59     -688.000
     60     -696.000
     61     -694.000
     62     -690.000
     63     -678.000
     64     -682.000
     65     -686.000
     66     -690.000
     67     -690.000
     68     -688.000
     69     -696.000
     70     -700.000
     71     -690.000
     72     -696.000
     73     -696.000
     74     -692.000
     75     -698.000
     76     -690.000
     77     -690.000
     78     -682.000
     79     -678.000
     80     -690.000
     81     -690.000
     82     -686.000
     83     -686.000
     84     -698.000
     85     -694.000
     86     -688.000
     87     -698.000
     88     -690.000
     89     -700.000
     90     -692.000
     91     -694.000
     92     -682.000
     93     -688.000
     94     -694.000
     95     -698.000
     96     -684.000
     97     -696.000
     98     -702.000
     99     -696.000
    100     -698.000
    110     -698.000
    120     -694.000
    130     -712.000
    140     -710.000
    150     -712.000
    160     -710.000
    170     -698.000
    180     -712.000
    190     -704.000
    200     -716.000
    210     -702.000
    220     -710.000
    230     -712.000
    240     -710.000
    250     -704.000
    260     -700.000
    270     -714.000
    280     -714.000
    290     -712.000
    300     -714.000
    310     -714.000
    320     -708.000
    330     -720.000
    340     -718.000
    350     -704.000
    360     -690.000
    370     -704.000
    380     -706.000
    390     -718.000
    400     -706.000
    410     -716.000
    420     -698.000
    430     -706.000
    440     -716.000
    450     -698.000
    460     -704.000
    470     -710.000
    480     -708.000
    490     -708.000
    500     -710.000
    510     -716.000
    520     -706.000
    530     -682.000
    540     -708.000
    550     -712.000
    560     -720.000
    570     -700.000
    580     -702.000
    590     -700.000
    600     -712.000
    610     -718.000
    620     -710.000
    630     -710.000
    640     -710.000
    650     -706.000
    660     -720.000
    670     -704.000
    680     -692.000
    690     -714.000
    700     -716.000
    710     -706.000
    720     -710.000
    730     -714.000
    740     -718.000
    750     -702.000
    760     -706.000
    770     -718.000
    780     -714.000
    790     -700.000
    800     -718.000
    810     -710.000
    820     -712.000
    830     -714.000
    840     -712.000
    850     -710.000
    860     -720.000
    870     -712.000
    880     -712.000
    890     -708.000
    900     -714.000
    910     -712.000
    920     -710.000
    930     -708.000
    940     -716.000
    950     -692.000
    960     -714.000
    970     -714.000
    980     -706.000
    990     -712.000
