# Ising model in 2dimensions at kT = 0.5
#  time     energy
      0     -320.000
      1     -424.000
      2     -496.000
      3     -534.000
      4     -558.000
      5     -574.000
      6     -584.000
      7     -594.000
      8     -608.000
      9     -620.000
     10     -626.000
     11     -624.000
     12     -626.000
     13     -642.000
     14     -644.000
     15     -644.000
     16     -648.000
     17     -646.000
     18     -650.000
     19     -650.000
     20     -650.000
     21     -652.000
     22     -658.000
     23     -658.000
     24     -662.000
     25     -664.000
     26     -664.000
     27     -668.000
     28     -670.000
     29     -670.000
     30     -670.000
     31     -670.000
     32     -668.000
     33     -668.000
     34     -668.000
     35     -666.000
     36     -674.000
     37     -668.000
     38     -672.000
     39     -670.000
     40     -672.000
     41     -668.000
     42     -666.000
     43     -668.000
     44     -668.000
     45     -674.000
     46     -674.000
     47     -674.000
     48     -674.000
     49     -674.000
     50     -676.000
     51     -672.000
     52     -672.000
     53     -674.000
     54     -670.000
     55     -670.000
     56     -670.000
     57     -674.000
     58     -678.000
     59     -680.000
     60     -680.000
     61     -678.000
     62     -680.000
     63     -680.000
     64     -676.000
     65     -682.000
     66     -682.000
     67     -684.000
     68     -684.000
     69     -682.000
     70     -684.000
     71     -682.000
     72     -686.000
     73     -682.000
     74     -684.000
     75     -686.000
     76     -684.000
     77     -686.000
     78     -690.000
     79     -690.000
     80     -688.000
     81     -688.000
     82     -686.000
     83     -686.000
     84     -686.000
     85     -686.000
     86     -688.000
     87     -686.000
     88     -690.000
     89     -690.000
     90     -690.000
     91     -690.000
     92     -690.000
     93     -690.000
     94     -690.000
     95     -688.000
     96     -690.000
     97     -690.000
     98     -690.000
     99     -692.000
    100     -694.000
    110     -692.000
    120     -694.000
    130     -694.000
    140     -706.000
    150     -722.000
    160     -722.000
    170     -722.000
    180     -716.000
    190     -714.000
    200     -722.000
    210     -722.000
    220     -722.000
    230     -720.000
    240     -720.000
    250     -722.000
    260     -722.000
    270     -722.000
    280     -722.000
    290     -716.000
    300     -720.000
    310     -720.000
    320     -720.000
    330     -720.000
    340     -720.000
    350     -720.000
    360     -722.000
    370     -720.000
    380     -720.000
    390     -722.000
    400     -722.000
    410     -722.000
    420     -720.000
    430     -722.000
    440     -722.000
    450     -720.000
    460     -720.000
    470     -722.000
    480     -718.000
    490     -720.000
    500     -718.000
    510     -720.000
    520     -720.000
    530     -722.000
    540     -720.000
    550     -722.000
    560     -720.000
    570     -722.000
    580     -722.000
    590     -720.000
    600     -722.000
    610     -720.000
    620     -722.000
    630     -718.000
    640     -722.000
    650     -720.000
    660     -722.000
    670     -722.000
    680     -720.000
    690     -718.000
    700     -718.000
    710     -722.000
    720     -720.000
    730     -722.000
    740     -720.000
    750     -722.000
    760     -722.000
    770     -722.000
    780     -718.000
    790     -720.000
    800     -722.000
    810     -720.000
    820     -722.000
    830     -720.000
    840     -720.000
    850     -722.000
    860     -722.000
    870     -722.000
    880     -718.000
    890     -722.000
    900     -720.000
    910     -722.000
    920     -722.000
    930     -722.000
    940     -720.000
    950     -722.000
    960     -720.000
    970     -722.000
    980     -722.000
    990     -720.000
