# Ising model in 2dimensions at kT = 2
#  time     energy
      0     -288.000
      1     -320.000
      2     -356.000
      3     -376.000
      4     -416.000
      5     -398.000
      6     -430.000
      7     -450.000
      8     -452.000
      9     -442.000
     10     -466.000
     11     -472.000
     12     -468.000
     13     -492.000
     14     -500.000
     15     -480.000
     16     -500.000
     17     -492.000
     18     -540.000
     19     -500.000
     20     -518.000
     21     -520.000
     22     -544.000
     23     -540.000
     24     -526.000
     25     -522.000
     26     -506.000
     27     -502.000
     28     -520.000
     29     -530.000
     30     -510.000
     31     -506.000
     32     -522.000
     33     -548.000
     34     -558.000
     35     -464.000
     36     -472.000
     37     -466.000
     38     -446.000
     39     -432.000
     40     -498.000
     41     -458.000
     42     -460.000
     43     -508.000
     44     -518.000
     45     -508.000
     46     -508.000
     47     -450.000
     48     -478.000
     49     -502.000
     50     -532.000
     51     -540.000
     52     -522.000
     53     -526.000
     54     -488.000
     55     -490.000
     56     -464.000
     57     -466.000
     58     -462.000
     59     -480.000
     60     -500.000
     61     -498.000
     62     -510.000
     63     -502.000
     64     -540.000
     65     -544.000
     66     -550.000
     67     -520.000
     68     -502.000
     69     -488.000
     70     -500.000
     71     -550.000
     72     -566.000
     73     -526.000
     74     -496.000
     75     -526.000
     76     -512.000
     77     -472.000
     78     -510.000
     79     -542.000
     80     -544.000
     81     -564.000
     82     -516.000
     83     -482.000
     84     -466.000
     85     -502.000
     86     -494.000
     87     -536.000
     88     -566.000
     89     -526.000
     90     -548.000
     91     -514.000
     92     -510.000
     93     -502.000
     94     -498.000
     95     -488.000
     96     -458.000
     97     -516.000
     98     -450.000
     99     -468.000
    100     -406.000
    110     -542.000
    120     -542.000
    130     -544.000
    140     -504.000
    150     -502.000
    160     -482.000
    170     -460.000
    180     -424.000
    190     -482.000
    200     -480.000
    210     -472.000
    220     -510.000
    230     -494.000
    240     -556.000
    250     -596.000
    260     -526.000
    270     -576.000
    280     -494.000
    290     -498.000
    300     -516.000
    310     -550.000
    320     -566.000
    330     -550.000
    340     -536.000
    350     -546.000
    360     -538.000
    370     -556.000
    380     -552.000
    390     -550.000
    400     -566.000
    410     -506.000
    420     -520.000
    430     -518.000
    440     -598.000
    450     -520.000
    460     -528.000
    470     -494.000
    480     -486.000
    490     -538.000
    500     -486.000
    510     -512.000
    520     -536.000
    530     -540.000
    540     -486.000
    550     -478.000
    560     -536.000
    570     -534.000
    580     -546.000
    590     -518.000
    600     -512.000
    610     -514.000
    620     -490.000
    630     -446.000
    640     -562.000
    650     -582.000
    660     -538.000
    670     -534.000
    680     -592.000
    690     -600.000
    700     -618.000
    710     -656.000
    720     -578.000
    730     -598.000
    740     -524.000
    750     -552.000
    760     -526.000
    770     -572.000
    780     -550.000
    790     -568.000
    800     -578.000
    810     -492.000
    820     -454.000
    830     -512.000
    840     -480.000
    850     -584.000
    860     -578.000
    870     -534.000
    880     -524.000
    890     -556.000
    900     -540.000
    910     -540.000
    920     -494.000
    930     -608.000
    940     -524.000
    950     -596.000
    960     -616.000
    970     -578.000
    980     -556.000
    990     -578.000
